municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;sqrt_inv_per_capita_norm;perdas_norm;desempenho_norm
Pedranópolis;São José do Rio Preto;Fernandópolis;    2547;    63904; 25,089910;63,43626;292; 52,813067; 61,75549; 77,27; 95,11; 95,11;  7,3826900;100,0000000; 18,048837
Bernardino de Campos;Marília;Ourinhos;   11180;   236668; 21,168873;63,43279;293; 45,916515; 51,56740; 92,05;100,00;100,00;  6,1485881; 85,2997327; 26,480074
Palestina;São José do Rio Preto;São José do Rio Preto;   12542;   398720; 31,790783;63,43127;294; 43,194192; 54,85893; 82,31; 85,92; 80,15; 25,1736215; 94,1326206; 41,710819
Paulistânia;Bauru;Bauru;    1841;    36487; 19,819120;63,30574;295; 50,272232; 60,03135; 67,25;100,00;100,00; 19,4990175; 93,8017055; 15,591646
Cássia dos Coqueiros;Ribeirão Preto;Ribeirão Preto;    2591;   139851; 53,975685;63,22487;296; 49,183303; 60,34483; 81,94; 91,78; 91,78; 17,9641190; 93,0762377; 19,730477
Santa Rita d'Oeste;São José do Rio Preto;Jales;    2544;    56605; 22,250393;63,21559;297; 89,473684; 96,39498; 72,55; 94,93; 94,93;  3,4834198; 35,8024691; 18,160178
Jaú;Bauru;Jaú;  146338;  4560371; 31,163273;63,19628;298; 54,809437; 56,26959; 96,89;100,00;100,00; 22,0215332; 54,5246277; 21,055056
Onda Verde;São José do Rio Preto;São José do Rio Preto;    4286;   122671; 28,621325;63,18806;299; 46,823956; 53,76176; 98,04; 90,99; 90,99; 10,7465060; 89,9834542; 24,168778
Dourado;Região Administrativa Central;São Carlos;    8909;   595049; 66,791896;63,18217;300; 50,453721; 60,03135; 97,88; 99,50; 99,50; 11,1534481; 66,8321242; 20,106734
Buritizal;Franca;Franca;    4408;   178048; 40,392015;63,11219;301; 51,179673; 60,81505; 81,72;100,00;100,00; 10,6365965; 83,6069747; 16,939261
Espírito Santo do Turvo;Marília;Ourinhos;    4713;    71536; 15,178443;63,06057;302; 49,909256; 59,71787; 83,05; 99,31; 99,31;  8,8340459; 75,5504646; 28,802887
Euclides da Cunha Paulista;Presidente Prudente;Presidente Prudente;    9559;   109935; 11,500680;63,01474;303; 50,816697; 60,97179; 67,94; 96,36; 96,36;  8,3978808; 93,3053328; 29,966214
Itatinga;Sorocaba;Botucatu;   20158;   311156; 15,435857;62,98624;304; 51,724138; 60,81505; 83,36; 98,54; 98,54; 15,7890693; 67,3284969; 27,793135
Avaí;Bauru;Bauru;    5337;   263902; 49,447630;62,98246;305; 47,731397; 56,89655; 62,47; 97,99; 97,99;  9,2259941;100,0000000; 31,555709
Taquaritinga;Região Administrativa Central;Araraquara;   56951;  1469101; 25,795877;62,89537;306; 74,954628; 74,45141; 94,78; 80,00; 80,00;  6,9202699; 68,9321624; 23,124472
Mirassol;São José do Rio Preto;São José do Rio Preto;   58760;  1956637; 33,298792;62,89369;307; 44,283122; 49,84326; 95,89; 90,69; 72,55; 36,3129525; 80,4887362; 33,091454
Elias Fausto;Campinas;Piracicaba;   17393;   632336; 36,355775;62,88806;308; 46,823956; 55,79937; 83,16;100,00;100,00; 17,4113458; 87,3743159; 12,535514
