municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;inv_per_capita_norm;perdas_norm;desempenho_norm
Óleo;Marília;Ourinhos;    2583;    88221; 34,154472;62,20102;277; 50,635209; 60,81505; 88,38; 90,36; 90,36;1,902352e+01; 77,0523100; 20,982109
Timburi;Marília;Ourinhos;    2690;    47738; 17,746468;62,19756;278; 50,635209; 60,03135; 69,66;100,00;100,00;4,672309e+00;100,0000000; 12,581586
Rifaina;Franca;Franca;    3618;   111766; 30,891653;62,13425;279; 48,457350; 58,93417; 85,93; 92,19; 92,19;6,311393e+00; 98,4599720; 14,601090
Torrinha;Campinas;Rio Claro;    9934;   213334; 21,475136;62,10914;280; 49,364791; 56,42633; 91,98; 98,38; 98,38;3,197612e+00; 71,8849434; 27,259464
Botucatu;Sorocaba;Botucatu;  142546;  4290669; 30,100241;62,10694;281; 46,279492; 56,42633;100,00; 92,56; 92,56;7,318500e+00; 69,8867252; 31,824464
Taquaritinga;Região Administrativa Central;Araraquara;   56951;  1469101; 25,795877;62,09020;282; 74,954628; 74,45141; 94,78; 80,00; 80,00;4,789014e-01; 68,9321624; 23,124472
Espírito Santo do Turvo;Marília;Ourinhos;    4713;    71536; 15,178443;62,05386;283; 49,909256; 59,71787; 83,05; 99,31; 99,31;7,804037e-01; 75,5504646; 28,802887
Euclides da Cunha Paulista;Presidente Prudente;Presidente Prudente;    9559;   109935; 11,500680;62,05316;284; 50,816697; 60,97179; 67,94; 96,36; 96,36;7,052440e-01; 93,3053328; 29,966214
Guaraçaí;Araçatuba;Andradina;    8466;   228993; 27,048547;62,01243;285; 69,872958; 74,92163; 78,88; 84,03; 84,03;3,094873e-01; 76,8995800; 27,155801
Onda Verde;São José do Rio Preto;São José do Rio Preto;    4286;   122671; 28,621325;61,98910;286; 46,823956; 53,76176; 98,04; 90,99; 90,99;1,154874e+00; 89,9834542; 24,168778
